item,condition,sentence
1,stranding_short,The manager from the agency asked which table the caterer carefully put the appetizers on during the reception
1,stranding_long,The manager asked which table the caterer from the local temp agency carefully put the appetizers on during the reception
1,ppiping_short,The manager from the agency asked on which table the caterer carefully put the appetizers during the reception
1,ppiping_long,The manager asked on which table the caterer from the local temp agency carefully put the appetizers during the reception
1,doubling_short,The manager from the agency asked on which table the caterer carefully put the appetizers on during the reception
1,doubling_long,The manager asked on which table the caterer from the local temp agency carefully put the appetizers on during the reception
2,stranding_short,The intern from the firm knew which wall the contractor expertly mounted the shelf on during the remodel
2,stranding_long,The intern knew which wall the contractor from the famous architectural firm expertly mounted the shelf on during the remodel
2,ppiping_short,The intern from the firm knew on which wall the contractor expertly mounted the shelf during the remodel
2,ppiping_long,The intern knew on which wall the contractor from the famous architectural firm expertly mounted the shelf during the remodel
2,doubling_short,The intern from the firm knew on which wall the contractor expertly mounted the shelf on during the remodel
2,doubling_long,The intern knew on which wall the contractor from the famous architectural firm expertly mounted the shelf on during the remodel
3,stranding_short,The counselor from the school asked which mural the teenager angrily sprayed the paint on during the riot
3,stranding_long,The counselor which mural the teenager from the expensive private school angrily sprayed the paint on during the riot
3,ppiping_short,The counselor from the school asked on which mural the teenager angrily sprayed the paint during the riot
3,ppiping_long,The counselor on which mural the teenager from the expensive private school angrily sprayed the paint during the riot
3,doubling_short,The counselor from the school asked on which mural the teenager angrily sprayed the paint on during the riot
3,doubling_long,The counselor on which mural the teenager from the expensive private school angrily sprayed the paint on during the riot
4,stranding_short,The quartermaster of the ship discovered which cabin the captain quietly stowed the treasure in during the battle
4,stranding_long,The quartermaster discovered which cabin the captain of the notorious pirate ship quietly stowed the treasure in during the battle
4,ppiping_short,The quartermaster of the ship discovered in which cabin the captain quietly stowed the treasure during the battle
4,ppiping_long,The quartermaster discovered in which cabin the captain of the notorious pirate ship quietly stowed the treasure during the battle
4,doubling_short,The quartermaster of the ship discovered in which cabin the captain quietly stowed the treasure in during the battle
